country,zone,state,division,district,tehsil,pincode,village
India,West,Maharashtra,Konkan,Mumbai Suburban,Andheri,400053,Andheri East
India,West,Maharashtra,Konkan,Mumbai Suburban,Andheri,400058,Andheri West
India,West,Maharashtra,Konkan,Mumbai Suburban,Bandra,400050,Bandra West
India,West,Maharashtra,Konkan,Mumbai Suburban,Bandra,400051,Bandra East
India,West,Maharashtra,Konkan,Mumbai Suburban,Borivali,400066,Borivali West
India,West,Maharashtra,Konkan,Mumbai Suburban,Borivali,400092,Borivali East
India,West,Maharashtra,Konkan,Mumbai Suburban,Goregaon,400062,Goregaon West
India,West,Maharashtra,Konkan,Mumbai Suburban,Goregaon,400063,Goregaon East
India,West,Maharashtra,Konkan,Mumbai Suburban,Kandivali,400067,Kandivali West
India,West,Maharashtra,Konkan,Mumbai Suburban,Kandivali,400101,Kandivali East
India,West,Maharashtra,Konkan,Mumbai Suburban,Malad,400064,Malad West
India,West,Maharashtra,Konkan,Mumbai Suburban,Malad,400097,Malad East
India,West,Maharashtra,Konkan,Mumbai Suburban,Mulund,400080,Mulund West
India,West,Maharashtra,Konkan,Mumbai Suburban,Mulund,400081,Mulund East
India,West,Maharashtra,Konkan,Mumbai Suburban,Powai,400076,Powai 
India,West,Maharashtra,Konkan,Mumbai Suburban,Santacruz,400054,Santacruz West
India,West,Maharashtra,Konkan,Mumbai Suburban,Santacruz,400055,Santacruz East
India,West,Maharashtra,Konkan,Mumbai Suburban,Vile Parle,400056,Vile Parle West
India,West,Maharashtra,Konkan,Mumbai Suburban,Vile Parle,400057,Vile Parle East
India,West,Maharashtra,Konkan,Mumbai Suburban,Juhu,400049,Juhu
India,West,Maharashtra,Konkan,Mumbai Suburban,Jogeshwari,400060,Jogeshwari West
India,West,Maharashtra,Konkan,Mumbai Suburban,Jogeshwari,400102,Jogeshwari East
India,West,Maharashtra,Konkan,Mumbai Suburban,Chembur,400071,Chembur
India,West,Maharashtra,Konkan,Mumbai Suburban,Ghatkopar,400077,Ghatkopar West
India,West,Maharashtra,Konkan,Mumbai Suburban,Ghatkopar,400086,Ghatkopar East
India,West,Maharashtra,Konkan,Mumbai Suburban,Kurla,400070,Kurla West
